shot,method,display_name,class_name,num_runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
32,baseline_cnn,CNN Baseline,airplane,7,0.33300208080434734,0.3150457193574898,0.3589322381930185,0.36656315214688456,0.335127498099657,0.3254114340011603
32,baseline_cnn,CNN Baseline,harbor,7,0.12859191448506974,0.23660296331453423,0.24209782800635707,0.4139262740617337,0.16245671785239188,0.28648767944791165
32,baseline_cnn,CNN Baseline,ship,7,0.48877940944418746,0.46322961775368304,0.3274871874114708,0.32862129841712595,0.3824603522369237,0.3690721076404488
32,baseline_cnn,CNN Baseline,vehicle,7,0.4252120696412017,0.12083146761046466,0.8713410632246773,0.08475408794600953,0.5577611750748483,0.08943756758398208
32,hybrid_control,Classical Control,airplane,7,0.5302724326865373,0.10519506358002378,0.7436784980932825,0.13134782337631368,0.6034424607323802,0.06312999743363251
32,hybrid_control,Classical Control,harbor,7,0.26048999318066324,0.08100174341507324,0.8818647360056507,0.05333310705395736,0.39508013242795376,0.09028073158345085
32,hybrid_control,Classical Control,ship,7,0.9066416096439252,0.04271383962381646,0.6313580056143604,0.10949597595498903,0.7374296104798976,0.06818653784009841
32,hybrid_control,Classical Control,vehicle,7,0.6996816166181536,0.08048702918082258,0.6790636622183329,0.11898089421590116,0.6777466263966002,0.04951036416597744
32,hybrid_no_entanglement,QNN No-Ent,airplane,7,0.5446048098720806,0.10359905677111816,0.761513640363743,0.08108975396188038,0.6248872225210572,0.04934211302835796
32,hybrid_no_entanglement,QNN No-Ent,harbor,7,0.2472056164632281,0.09240395477786029,0.88469009358997,0.05468564117582366,0.37721369914983155,0.10038754911700162
32,hybrid_no_entanglement,QNN No-Ent,ship,7,0.8935445242486486,0.04421695342237724,0.6645162121095058,0.10874222647379335,0.7572611463075217,0.07111785433379553
32,hybrid_no_entanglement,QNN No-Ent,vehicle,7,0.751603639496442,0.06249147476961398,0.660118136075257,0.1317327219300253,0.6917652361321528,0.06828443505364534
32,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,airplane,7,0.5060750551622628,0.08587970683174628,0.7929011440305075,0.05910796385990512,0.6113282169828229,0.05330484852395293
32,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,harbor,7,0.23955266265485756,0.053353526745181526,0.8935193360409677,0.04411677163000349,0.3745061215904859,0.06440168499810495
32,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,ship,7,0.8963344995513612,0.04024576072280107,0.6712122382755157,0.08384792784453868,0.7644294495908874,0.051311652264601174
32,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,vehicle,7,0.768046579288047,0.08157612470032062,0.6206738131699847,0.1396577479879411,0.6707857264676549,0.06724414419141791
